event_id,source,target,action,src_type,tgt_type,src_privilege,tgt_privilege,src_out_degree,tgt_in_degree,src_pagerank,tgt_pagerank,timestamp,is_anomaly
1,user_benign,agent_scraper,send_message,user,agent,low,low,4262,5000,0.06164494012997324,0.16644158848068946,2026-06-21T11:53:09.698944,0
2,agent_scraper,tool_web_search,tool_call,agent,tool,low,none,10000,5000,0.16644158848068946,0.13238197055672474,2026-06-21T11:53:11.698944,0
3,agent_scraper,agent_analyst,send_message,agent,agent,low,medium,10000,5000,0.16644158848068946,0.13238197055672474,2026-06-21T11:53:14.698944,0
4,agent_analyst,agent_db_admin,send_message,agent,agent,medium,high,5000,5000,0.13238197055672474,0.17417048511266503,2026-06-21T11:53:19.698944,0
5,agent_db_admin,tool_sql_query,tool_call,agent,tool,high,high,5000,5000,0.17417048511266503,0.20968916490327633,2026-06-21T11:53:21.698944,0
6,user_benign,agent_scraper,send_message,user,agent,low,low,4262,5000,0.06164494012997324,0.16644158848068946,2026-06-21T12:13:09.698944,0
7,agent_scraper,tool_web_search,tool_call,agent,tool,low,none,10000,5000,0.16644158848068946,0.13238197055672474,2026-06-21T12:13:11.698944,0
8,agent_scraper,agent_analyst,send_message,agent,agent,low,medium,10000,5000,0.16644158848068946,0.13238197055672474,2026-06-21T12:13:14.698944,0
9,agent_analyst,agent_db_admin,send_message,agent,agent,medium,high,5000,5000,0.13238197055672474,0.17417048511266503,2026-06-21T12:13:19.698944,0
10,agent_db_admin,tool_sql_query,tool_call,agent,tool,high,high,5000,5000,0.17417048511266503,0.20968916490327633,2026-06-21T12:13:21.698944,0
11,user_benign,agent_scraper,send_message,user,agent,low,low,4262,5000,0.06164494012997324,0.16644158848068946,2026-06-21T12:33:09.698944,0
12,agent_scraper,tool_web_search,tool_call,agent,tool,low,none,10000,5000,0.16644158848068946,0.13238197055672474,2026-06-21T12:33:11.698944,0
13,agent_scraper,agent_analyst,send_message,agent,agent,low,medium,10000,5000,0.16644158848068946,0.13238197055672474,2026-06-21T12:33:14.698944,0
14,agent_analyst,agent_db_admin,send_message,agent,agent,medium,high,5000,5000,0.13238197055672474,0.17417048511266503,2026-06-21T12:33:19.698944,0
15,agent_db_admin,tool_sql_query,tool_call,agent,tool,high,high,5000,5000,0.17417048511266503,0.20968916490327633,2026-06-21T12:33:21.698944,0
16,user_benign,agent_scraper,send_message,user,agent,low,low,4262,5000,0.06164494012997324,0.16644158848068946,2026-06-21T12:49:09.698944,0
17,agent_scraper,tool_web_search,tool_call,agent,tool,low,none,10000,5000,0.16644158848068946,0.13238197055672474,2026-06-21T12:49:11.698944,0
18,agent_scraper,agent_analyst,send_message,agent,agent,low,medium,10000,5000,0.16644158848068946,0.13238197055672474,2026-06-21T12:49:14.698944,0
19,agent_analyst,agent_db_admin,send_message,agent,agent,medium,high,5000,5000,0.13238197055672474,0.17417048511266503,2026-06-21T12:49:19.698944,0
